,story_id,premises,premises-FOL,conclusion,conclusion-FOL,label,example_id,premises-MINIFOL2,conclusion-MINIFOL2
10,376,"All people in this tech company who are consistent and enjoy sticking to their regular routines do not like surprises.
People in this tech company who wear the same flannel shirts every day are consistent and enjoy sticking to their regular routines.
People in this tech company who do not like shopping for clothes wear the same flannel shirts every day.
Old people living in stable homes do not like surprises.
People in this tech company who have very high energy and are impulsive like surprises.
Mike works in this tech company.
If Mike is not a person who wears the same flannel shirts every day, has very high energy, and is impulsive, then Mike either is very consistent and enjoys sticking to his regular routines or does not like surprises.","∀x (InThisTechCompany(x) ∧ Consistent(x) ∧ StickTo(x, theirRegularRoutine) → ¬Like(x, surprise))
∀x (InThisTechCompany(x) ∧ ∃y (flannelShirt(y) ∧ WearEveryday(x, y)) → Consistent(x) ∧ StickTo(x, theirRegularRoutine))
∀x (InThisTechCompany(x) ∧ ¬LikeShoppingFor(x, clothes) → ∃y (flannelShirt(y) ∧ WearEveryday(x, y)))
∀x (InThisTechCompany(x) ∧ Old(x) ∧ LiveIn(x, stableHome) → ¬Like(x, surprise))
∀x (InThisTechCompany(x) ∧ Have(x, highEnergy) ∧ Impulsive(x) → ¬Like(x, surprise))
InThisTechCompany(mike)
¬(∃y (flannelShirt(y) ∧ WearEveryday(x, y)) ∧ Have(mike, highEnergy) ∧ Impulsive(mike)) → (Consistent(mike) ∧ StickTo(mike, theirRegularRoutine)) ⊕ ¬Like(mike, surprise)","If Mike is not an old person living in a stable home and does not like shopping for clothes, then Mike does not like shopping for clothes.","¬(Old(mike) ∧ LiveIn(mike, stableHome)) ∧ ¬LikeShoppingFor(mike, clothes)) → ¬LikeShoppingFor(mike, clothes)",False,1004,"all:x (inthistechcompany(x) & consistent(x) & stickto(x, theirregularroutine) :- ~like(x, surprise))
all:x (inthistechcompany(x) & y (flannelshirt(y) & weareveryday(x, y)) :- consistent(x) & stickto(x, theirregularroutine))
all:x (inthistechcompany(x) & ~likeshoppingfor(x, clothes) :- y (flannelshirt(y) & weareveryday(x, y)))
all:x (inthistechcompany(x) & old(x) & livein(x, stablehome) :- ~like(x, surprise))
all:x (inthistechcompany(x) & have(x, highenergy) & impulsive(x) :- ~like(x, surprise))
inthistechcompany(mike)
~(y (flannelshirt(y) & weareveryday(x, y)) & have(mike, highenergy) & impulsive(mike)) :- (consistent(mike) & stickto(mike, theirregularroutine)) ^ ~like(mike, surprise)","~(old(mike) & livein(mike, stablehome)) & ~likeshoppingfor(mike, clothes)) :- ~likeshoppingfor(mike, clothes)"
11,29,"Gasteren is a village located in the province of Drenthe.
Drenthe is a Dutch province. 
No cities are villages.
The population of a village in Drenthe was 155 people.","Village(gasteren) ∧ Province(drenthe) ∧ In(gasteren, drenthe)
Province(drenthe) ∧ In(drenthe, netherlands)
∀x (City(x) → ¬Village(x))
∃x (Population(x, num155) ∧ Village(x) ∧ In(x, drenthe))",Gasteren has a population of 155.,"Population(gasteren, num155)",Uncertain,85,"village(gasteren) & province(drenthe) & in(gasteren, drenthe)
province(drenthe) & in(drenthe, netherlands)
all:x (city(x) :- ~village(x))
x (population(x, num155) & village(x) & in(x, drenthe))","population(gasteren, num155)"
12,187,"European soccer clubs can attend UCL, UEL, and UECL.
A soccer club eligible to attend UCL has a higher ranking than a soccer club eligible to attend UEL.
A soccer club eligible to attend UEL has a higher ranking than a soccer club eligible to attend UECL.
Manchester United and Machester City are both European soccer clubs.
Manchester United is eligible to attend UEL next season.
Manchester City is eligible to attend UCL next season.","∀x (EuropeanSoccerClub(x) → Attend(x, ucl) ∨ Attend(x, uel) ∨ Attend(x, uecl))
∀x ∀y (EuropeanSoccerClub(x) ∧ EuropeanSoccerClub(y) ∧ Attend(x, ucl) ∧ Attend(y, uel) → HigherRank(x, y))
∀x ∀y (EuropeanSoccerClub(x) ∧ EuropeanSoccerClub(y) ∧ Attend(x, uel) ∧ Attend(y, uecl) → HigherRank(x, y))
EuropeanSoccerClub(manchesterUnited) ∧ EuropeanSoccerClub(manchesterCity)
Attend(manchesterunited, uel)
Attend(manchestercity, ucl)",Manchester City has a higher ranking than Manchester United.,"HigherRank(manchesterCity, manchesterUnited)",True,539,"all:x (europeansoccerclub(x) :- attend(x, ucl) | attend(x, uel) | attend(x, uecl))
all:x all:y (europeansoccerclub(x) & europeansoccerclub(y) & attend(x, ucl) & attend(y, uel) :- higherrank(x, y))
all:x all:y (europeansoccerclub(x) & europeansoccerclub(y) & attend(x, uel) & attend(y, uecl) :- higherrank(x, y))
europeansoccerclub(manchesterunited) & europeansoccerclub(manchestercity)
attend(manchesterunited, uel)
attend(manchestercity, ucl)","higherrank(manchestercity, manchesterunited)"
13,417,"Some monitors made by LG have a type-c port.
Monitors that have a type-c port were not made before 2010.
All monitors in the library are made before 2010. 
The L-2021 monitor is either used in the library or has a type-c port.
The L-2021 monitor is either both produced before 2010 and made by LG, or neither is true.","∃x (Monitor(x) ∧ ProducedBy(x, lG) ∧ Have(x, typeCPort) ∧ (¬(x=y)) ∧ Monitor(y) ∧ ProducedBy(y, lG) ∧ Have(y, typeCPort))
∀x (Have(x, typeCPort) → ¬ProducedBefore(x, yr2010))
∀x ((Monitor(x) ∧ In(x, library)) → ProducedBefore(x, yr2010))
Monitor(l-2021) ∧ (In(l-2021, library) ⊕ Have(l-2021, typeCPort))
¬(ProducedBefore(l-2021, yr2010) ⊕ ProducedBy(l-2021, lG))",The L-2021 monitor either has a type-c port or is produced by LG.,"Have(l-2021, typeCPort) ⊕ ProducedBy(l-2021, lG)",True,1175,"x (monitor(x) & producedby(x, lg) & have(x, typecport) & (~(x=y)) & monitor(y) & producedby(y, lg) & have(y, typecport))
all:x (have(x, typecport) :- ~producedbefore(x, yr2010))
all:x ((monitor(x) & in(x, library)) :- producedbefore(x, yr2010))
monitor(l-2021) & (in(l-2021, library) ^ have(l-2021, typecport))
~(producedbefore(l-2021, yr2010) ^ producedby(l-2021, lg))","have(l-2021, typecport) ^ producedby(l-2021, lg)"
14,146,"Catullus 4 is a poem written by the ancient Roman writer Catullus.
Catullus 4 is a story about the retirement of a well-traveled ship.
There is a strong analogy of human aging in the poem Catullus 4.
Catullus 4 is written in an unusual iambic trimeter to convey a sense of speed over the waves.","Poem(catullus4) ∧ WrittenBy(catullus4, catullus) ∧ AncientRomanWriter(catullus)
Story(catullus4) ∧ About(catullus4, retirementOfAWellTraveledShip)
Poem(catullus4) ∧ StrongAgingAnalogy(catullus4)
Poem(catullus4) ∧ WrittenIn(catullus4, iambicTrimeter) ∧ Convey(catullus4, aSenseOfSpeedOverTheWaves)",Callus 4 is written in an unusual iambic trimeter to convey a strong analogy of human aging.,"Poem(catullus4) ∧ WrittenIn(catullus4, iambicTrimeter) ∧ StrongAgingAnalogy(catullus4)",True,429,"poem(catullus4) & writtenby(catullus4, catullus) & ancientromanwriter(catullus)
story(catullus4) & about(catullus4, retirementofawelltraveledship)
poem(catullus4) & strongaginganalogy(catullus4)
poem(catullus4) & writtenin(catullus4, iambictrimeter) & convey(catullus4, asenseofspeedoverthewaves)","poem(catullus4) & writtenin(catullus4, iambictrimeter) & strongaginganalogy(catullus4)"
15,419,"Some employees in James's town who work in business analysis are good at math. 
All of the employees in James's town who work in business analysis are working for this company. 
None of the employees in James's town who work for this company are from China. 
All of the employees in James's town working in software engineering are from China. 
Leif is an employee in James's town, and he is working in software engineering.  ","∃x ∃y (EmployeeIn(x, jamesSTown) ∧ WorkIn(x, businessAnalysis) ∧ GoodAt(x, math) ∧ (¬(x=y)) ∧ EmployeeIn(y, jamesSTown) ∧ WorkIn(y, businessAnalysis) ∧ GoodAt(y, math))
∀x ((EmployeeIn(x, jamesSTown) ∧ WorkIn(x, businessAnalysis)) → WorkFor(x, thisCompany))
∀x ((EmployeeIn(x, jamesSTown) ∧ WorkFor(x, thisCompany)) → ¬From(x, china))
∀x (EmployeeIn(x, jamesSTown) ∧ WorkIn(x, softwareEngineering) → From(x, china))
EmployeeIn(leif, jamesSTown) ∧ WorkIn(leif, softwareEngineering)",Leif is good at math.,"EmployeesInJamesSTown(leif) ∧ GoodAt(leif, math)",Uncertain,1181,"x y (employeein(x, jamesstown) & workin(x, businessanalysis) & goodat(x, math) & (~(x=y)) & employeein(y, jamesstown) & workin(y, businessanalysis) & goodat(y, math))
all:x ((employeein(x, jamesstown) & workin(x, businessanalysis)) :- workfor(x, thiscompany))
all:x ((employeein(x, jamesstown) & workfor(x, thiscompany)) :- ~from(x, china))
all:x (employeein(x, jamesstown) & workin(x, softwareengineering) :- from(x, china))
employeein(leif, jamesstown) & workin(leif, softwareengineering)","employeesinjamesstown(leif) & goodat(leif, math)"
16,169,"All volunteers receive intangible benefits for their work.
Volunteers work regularly or on an as-needed basis.
Some volunteers are trained.
Volunteers work in groups or individually.
Environmental volunteers contribute toward environmental management or conservation.
Participating in natural disaster response is an example of volunteers working in groups on an as-needed basis.","∀x (Volunteer(x) → Receive(x, intangibleBenefit))
∀x (Volunteer(x) → WorkRegularly(x) ⊕ WorkAsNeeded(x))
∃x (Volunteer(x) → Trained(x))
∀x (Volunteer(x) → (WorkInGroup(x) ∨ WorkIndividually(x)))
∀x (Volunteer(x) ∧ Environmental(x) → (ContributeTo(x, environmentalManagement) ∨ ContributeTo(x, environmentalConservation)))
∃x (Volunteer(x) ∧ ContributeTo(x, naturalDisasterResponse) → WorkInGroup(x) ∧ WorkAsNeeded(x))",Volunteers who participate in natural disaster response receive intangible benefits for their work.,"∀x (Volunteer(x) ∧ ContributeTo(x, naturalDisasterResponse) → Receive(x, intangibleBenefit))",True,485,"all:x (volunteer(x) :- receive(x, intangiblebenefit))
all:x (volunteer(x) :- workregularly(x) ^ workasneeded(x))
x (volunteer(x) :- trained(x))
all:x (volunteer(x) :- (workingroup(x) | workindividually(x)))
all:x (volunteer(x) & environmental(x) :- (contributeto(x, environmentalmanagement) | contributeto(x, environmentalconservation)))
x (volunteer(x) & contributeto(x, naturaldisasterresponse) :- workingroup(x) & workasneeded(x))","all:x (volunteer(x) & contributeto(x, naturaldisasterresponse) :- receive(x, intangiblebenefit))"
17,109,"Phuoc Binh national park is a national park in Vietnam. 
Any national park in Vietnam is classified as a nature reserve. 
There is a national park in Vietnam classified as a UNESCO World Heritage Site.
All national parks in Vietnam are either managed by the Ministry of Agriculture or managed by the People's Committee. 
Phuoc Binh is not managed by the Ministry of Agriculture.","NationalPark(phuocBinh) ∧ Locatedin(phuocBinh, vietnam)
∀x ((NationalPark(x) ∧ Locatedin(x, vietnam)) → NatureReserve(x))
∃x (NationalPark(x) ∧ Locatedin(x, vietnam) ∧ UNESCOWorldHeritageSite(x))
∀x ((NationalPark(x) ∧ Locatedin(x, vietnam)) → (Mangedby(x, ministryofAgriculture) ⊕ Managedby(x, peoplesCommittee)))
¬Mangedby(phuocBinh, ministryofAgriculture)",Phuoc Binh is a UNESCO Heritage Site.,UNESCOWorldHeritageSite(phuocBinh)),Uncertain,331,"nationalpark(phuocbinh) & locatedin(phuocbinh, vietnam)
all:x ((nationalpark(x) & locatedin(x, vietnam)) :- naturereserve(x))
x (nationalpark(x) & locatedin(x, vietnam) & unescoworldheritagesite(x))
all:x ((nationalpark(x) & locatedin(x, vietnam)) :- (mangedby(x, ministryofagriculture) ^ managedby(x, peoplescommittee)))
~mangedby(phuocbinh, ministryofagriculture)",unescoworldheritagesite(phuocbinh))
18,395,"All velvet-finish lipsticks in the Rouge Dior set, Lunar New Year Limited Edition are refillable.
Lipsticks in the Rouge Dior set, Lunar New Year Limited Edition have either a velvet-finish or a satin-finish.
No satin-finish lipsticks in the set do not have ""rosewood"" in its offical description. 
Lipstcks in the Rouge Dior set, Lunar New Year Limited Edition either does not have ""rosewood"" in its offical description or it has ""rosewood"" in its official description. 
ROUGE Dior Colored Lip Balm 999 is a lipstick in the set, and it either has ""rosewood"" in its official description or has a velvet finish.","∀x ((Lipstick(x) ∧ In(x, rougeDiorSet) ∧ In(x, lunarNewYearLimitedEdition) ∧ VelvetFinish(x)) → Refillable(x))
∀x ((Lipstick(x) ∧ In(x, rougeDiorSet) ∧ In(x, lunarNewYearLimitedEdition)) → (VelvetFinish(x) ⊕ SatinFinish(x))
∀x ((Lipstick(x) ∧ In(x, rougeDiorSet) ∧ In(x, lunarNewYearLimitedEdition) ∧ SatinFinish(x)) → ¬RosewoodInDescription(x))
∀x ((Lipstick(x) ∧ In(x, rougeDiorSet) ∧ In(x, lunarNewYearLimitedEdition)) → (RosewoodInDescription(x) ⊕ ¬RosewoodInDescription(x)))
Lipstick(rougeDiorColoredLipBalm999) ∧ In(rougeDiorColoredLipBalm999, rougeDiorSet) ∧ In(rougeDiorColoredLipBalm999, lunarNewYearLimitedEdition) ∧ (RosewoodInDescription(rougeDiorColoredLipBalm999) ⊕ VelvetFinish(rougeDiorColoredLipBalm999))",ROUGE Dior Colored Lip Balm 999 has a satin finish.,SatinFinish(rougeDiorColoredLipBalm999),Uncertain,1068,"all:x ((lipstick(x) & in(x, rougediorset) & in(x, lunarnewyearlimitededition) & velvetfinish(x)) :- refillable(x))
all:x ((lipstick(x) & in(x, rougediorset) & in(x, lunarnewyearlimitededition)) :- (velvetfinish(x) ^ satinfinish(x))
all:x ((lipstick(x) & in(x, rougediorset) & in(x, lunarnewyearlimitededition) & satinfinish(x)) :- ~rosewoodindescription(x))
all:x ((lipstick(x) & in(x, rougediorset) & in(x, lunarnewyearlimitededition)) :- (rosewoodindescription(x) ^ ~rosewoodindescription(x)))
lipstick(rougediorcoloredlipbalm999) & in(rougediorcoloredlipbalm999, rougediorset) & in(rougediorcoloredlipbalm999, lunarnewyearlimitededition) & (rosewoodindescription(rougediorcoloredlipbalm999) ^ velvetfinish(rougediorcoloredlipbalm999))",satinfinish(rougediorcoloredlipbalm999)
19,341,"No battery-powered watch is automatic.
All digital watches are battery-powered.
Some mechanical watches are automatic.
All smart watches are digital.
Moonwatch is either a digital watch and an automatic, or it is neither.","∀x (BatteryPoweredWatch(x) → ¬AutomaticWatch(x))
∀x (DigitalWatch(x) → BatteryPoweredWatch(x))
∃x (MechanicalWatch(x) ∧ AutomaticWatch(x))
∀x (SmartWatch(x) → DigitalWatch(x))
¬(DigitalWatch(moonwatch) ⊕ AutomaticWatch(moonwatch))",Moonwatch is a smartwatch and a mechanical watch.,SmartWatch(moonwatch) ∧ MechanicalWatch(moonwatch),False,897,"all:x (batterypoweredwatch(x) :- ~automaticwatch(x))
all:x (digitalwatch(x) :- batterypoweredwatch(x))
x (mechanicalwatch(x) & automaticwatch(x))
all:x (smartwatch(x) :- digitalwatch(x))
~(digitalwatch(moonwatch) ^ automaticwatch(moonwatch))",smartwatch(moonwatch) & mechanicalwatch(moonwatch)
20,71,"Herodicus was a Greek physician, dietician, sophist, and gymnast.
Herodicus was born in the city of Selymbria.
Selymbria is a colony of the city-state Megara.
One of the tutors of Hippocrates was Herodicus.
Massages were recommended by Herodicus.
Some of the theories of Herodicus are considered to be the foundation of sports medicine.","Greek(herodicus) ∧ Physician(herodicus) ∧ Dietician(herodicus) ∧ Sophist(herodicus) ∧ Gymnast(herodicus)
Born(herodicus, selymbia) ∧ City(selymbia)
Colony(selymbia, megara) ∧ CityState(megara)
Tutor(herodicus, hippocrates)
Recommend(herodicus, massages)
∃x ∃y (Theory(x) ∧ From(x, herodicus) ∧ FoundationOf(x, sportsMedicine) ∧ (¬(x=y)) ∧ Theory(y) ∧ From(y, herodicus) ∧ FoundationOf(y, sportsMedicine))",Herodicus tutored Hippocrates.,"Tutor(herodicus, hippocrates)",True,213,"greek(herodicus) & physician(herodicus) & dietician(herodicus) & sophist(herodicus) & gymnast(herodicus)
born(herodicus, selymbia) & city(selymbia)
colony(selymbia, megara) & citystate(megara)
tutor(herodicus, hippocrates)
recommend(herodicus, massages)
x y (theory(x) & from(x, herodicus) & foundationof(x, sportsmedicine) & (~(x=y)) & theory(y) & from(y, herodicus) & foundationof(y, sportsmedicine))","tutor(herodicus, hippocrates)"
