Unnamed: 0,Premises - NL,Conclusions - NL,Truth Values,Premises - FOL,Conclusions - FOL,Comments,Verified by Prover,Premises - CLIF,Conclusions - CLIF,Premises - CLINGO,Conclusions - CLINGO,Premises - CGIF,Conclusions - CGIF,Premises - MINIFOL2,Conclusions - MINIFOL2,Premises - TFLPLUS,Conclusions - TFLPLUS
94,"Ainderby Quernhow is a village and civil parish in the Hambleton District.
Hambleton District is in North Yorkshire.
North Yorkshire is in England.
If place A is located in place B and place B is located in place C, then place A is located in place C.",There is a village in England.,T,"Village(ainderbyQuernhow) ∧ CivilParish(ainderbyQuernhow) ∧ In(ainderbyQuernhow, hambletonDistrict)
In(hambletonDistrict, northYorkshire)
In(northYorkshire, england)
∀x ∀y ∀z ((In(x, y) ∧ In(y, z)) → In(x, z))","∃x (Village(x) ∧ In(x, england))",,,"village(ainderbyquernhow) and civilparish(ainderbyquernhow) and in(ainderbyquernhow, hambletondistrict)
in(hambletondistrict, northyorkshire)
in(northyorkshire, england)
forall x forall y forall z ((in(x, y) and in(y, z)) implies in(x, z))","exists x (village(x) and in(x, england))","village(ainderbyquernhow) , civilparish(ainderbyquernhow) , in(ainderbyquernhow, hambletondistrict)
in(hambletondistrict, northyorkshire)
in(northyorkshire, england)
forall forall forall ((in(x, y) , in(y, z)) -: in(x, z))"," (village(x) , in(x, england))","[village[(ainderbyquernhow)]  civilparish[(ainderbyquernhow)]  in[(ainderbyquernhow  hambletondistrict)]
in[(hambletondistrict  northyorkshire)]
in[(northyorkshire  england)]
@every *x @every *y @every *z [([(in[(?x  y)]  in[(?y  z)])]  in[(?x  z)])]]",[*x [(village[(?x)]  in[(?x  england)])]],"village(ainderbyquernhow) & civilparish(ainderbyquernhow) & in(ainderbyquernhow, hambletondistrict)
in(hambletondistrict, northyorkshire)
in(northyorkshire, england)
all:x all:y all:z ((in(x, y) & in(y, z)) :- in(x, z))","x (village(x) & in(x, england))",+V2(+a2)++C2(+a2)++I2+I2+I2---((+I0++I0)-+I0),+(+V1++I1)
20,"A Japanese game company created the game the Legend of Zelda.
All games on the Top 10 list are made by Japanese game companies.
If a game sells more than one million copies, then it will be included in the Top 10 list.
The Legend of Zelda sold more than one million copies.",The Legend of Zelda is on the Top 10 list.,T,"Game(theLegendofZelda) ∧ ∃x (Japanese(x) ∧ VideoGameCompany(x) ∧ Created(x, theLegendofZelda))
∀x ∀y ((Game(x) ∧ InTop10(x) ∧ Created(y,x)) → Japanese(y))
∀x ((Game(x) ∧ ∃y(GreaterThan(y, oneMillion) ∧ CopiesSold(x, y))) → Top10(x)))
∃y(GreaterThan(y, oneMillion) ∧ CopiesSold(theLegendofZelda,y))",Top10(thelegendofzelda),,,"game(thelegendofzelda) and exists x (japanese(x) and videogamecompany(x) and created(x, thelegendofzelda))
forall x forall y ((game(x) and intop10(x) and created(y,x)) implies japanese(y))
forall x ((game(x) and exists y(greaterthan(y, onemillion) and copiessold(x, y))) implies top10(x)))
exists y(greaterthan(y, onemillion) and copiessold(thelegendofzelda,y))",top10(thelegendofzelda),"game(thelegendofzelda) ,  (japanese(x) , videogamecompany(x) , created(x, thelegendofzelda))
forall forall ((game(x) , intop10(x) , created(y,)) -: japanese(y))
forall ((game(x) , (greaterthan(y, onemillion) , copiessold(x, y))) -: top10(x)))
(greaterthan(y, onemillion) , copiessold(thelegendofzelda,))",top10(thelegendofzelda),"[game[(thelegendofzelda)]  *x [(japanese[(?x)]  videogamecompany[(?x)]  created[(?x  thelegendofzelda)])]
@every *x @every *y [([(game[(?x)]  intop10[(?x)]  created[(?y ?x)])]  japanese[(?y)])]
@every *x [([(game[(?x)]  *y[(greaterthan[(?y  onemillion)]  copiessold[(?x  y)])])]  top10[(?x)])])]
*y[(greaterthan[(?y  onemillion)]  copiessold[(thelegendofzelda ?y)])]]",[top10[(thelegendofzelda)]],"game(thelegendofzelda) & x (japanese(x) & videogamecompany(x) & created(x, thelegendofzelda))
all:x all:y ((game(x) & intop10(x) & created(y,x)) :- japanese(y))
all:x ((game(x) & y(greaterthan(y, onemillion) & copiessold(x, y))) :- top10(x)))
y(greaterthan(y, onemillion) & copiessold(thelegendofzelda,y))",top10(thelegendofzelda),+G2(+t2)++(+J1++V1++C1)--((+G0++I0++C0)-+J0)-((+G0++(+G1++C1))-+T1))+(+G1++C1),+T2(+t2)
65,"If a person coaches a football club, the person is a football coach.
If a person has a position in a club in a year, and the club is in NFL in the same year, the person plays in NFL.
Minnesota Vikings is a football club.
Dennis Green coached Minnesota Vikings.
Cris Carter had 13 touchdown receptions.
Minnesota Vikings were in the National Football League in 1997.
John Randle was Minnesota Vikings defensive tackle in 1997.",John Randle didn't play in the National Football League.,F,"∀x ∀y ((Coach(x, y) ∧ FootballClub(y)) → FootballCoach(x))
∀w ∀x ∀y ∀z ((PlayPositionFor(x, w, y, z) ∧ InNFL(y, z)) → PlayInNFL(x))
FootballClub(minnesotaVikings)
Coach(dennisGreen, minnesotaVikings)
ReceiveTD(crisCarter, num13)
InNFL(minnesotaVikings, yr1997)
PlayPositionFor(johnRandle, defensiveTackle, minnesotaVikings, yr1997)",¬PlayInNFL(johnRandle),,,"forall x forall y ((coach(x, y) and footballclub(y)) implies footballcoach(x))
forall w forall x forall y forall z ((playpositionfor(x, w, y, z) and innfl(y, z)) implies playinnfl(x))
footballclub(minnesotavikings)
coach(dennisgreen, minnesotavikings)
receivetd(criscarter, num13)
innfl(minnesotavikings, yr1997)
playpositionfor(johnrandle, defensivetackle, minnesotavikings, yr1997)",not playinnfl(johnrandle),"forall forall ((coach(x, y) , footballclub(y)) -: footballcoach(x))
forall forall forall forall ((playpositionfor(x, w, y, z) , innfl(y, z)) -: playinnfl(x))
footballclub(minnesotavikings)
coach(dennisgreen, minnesotavikings)
receivetd(criscarter, num13)
innfl(minnesotavikings, yr1997)
playpositionfor(johnrandle, defensivetackle, minnesotavikings, yr1997)",notplayinnfl(johnrandle),"[@every *x @every *y [([(coach[(?x  y)]  footballclub[(?y)])]  footballcoach[(?x)])]
@every *w @every *x @every *y @every *z [([(playpositionfor[(?x  w  y  z)]  innfl[(?y  z)])]  playinnfl[(?x)])]
footballclub[(minnesotavikings)]
coach[(dennisgreen  minnesotavikings)]
receivetd[(criscarter  num13)]
innfl[(minnesotavikings  yr1997)]
playpositionfor[(johnrandle  defensivetackle  minnesotavikings  yr1997)]]",~[playinnfl[(johnrandle)]],"all:x all:y ((coach(x, y) & footballclub(y)) :- footballcoach(x))
all:w all:x all:y all:z ((playpositionfor(x, w, y, z) & innfl(y, z)) :- playinnfl(x))
footballclub(minnesotavikings)
coach(dennisgreen, minnesotavikings)
receivetd(criscarter, num13)
innfl(minnesotavikings, yr1997)
playpositionfor(johnrandle, defensivetackle, minnesotavikings, yr1997)",~playinnfl(johnrandle),--((+C0++F0)-+F0)----((+P0++I0)-+P0)+F2(+m2)+C2+R2+I2+P2,-+P2(+j2)
24,"If a Leetcode problem is at the easy level, then its AC rate is lower than 20 percent. 
All Leetcode problems that are recommended to novices are easy. 
A Leetode problem is either easy or hard.
Leetcode problems that are starred by more than one thousand users are hard.
2Sum is recommended to novices. 
4Sum is starred by more than 1,000 users.",2Sum has an AC rate higher than 20 percent.,F,"∀x (Easy(x) → ∃y (LessThan(y, percent20) ∧ ACRate(x,y)))
∀x (Recommended(x) → Easy(x))
∀x (Easy(x) ⊕ Hard(x))
∀x (Starred(x)) → Hard(x))
Recommended(twosum)
Starred(foursum)","∃y(GreaterThan(y, percent20) ∧ ACRate(2Sum,y))",,,"forall x (easy(x) implies exists y (lessthan(y, percent20) and acrate(x,y)))
forall x (recommended(x) implies easy(x))
forall x (easy(x) xor hard(x))
forall x (starred(x)) implies hard(x))
recommended(twosum)
starred(foursum)","exists y(greaterthan(y, percent20) and acrate(2sum,y))","forall (easy(x) -:  (lessthan(y, percent20) , acrate(x,)))
forall (recommended(x) -: easy(x))
forall (easy(x) ^ hard(x))
forall (starred(x)) -: hard(x))
recommended(twosum)
starred(foursum)","(greaterthan(y, percent20) , acrate(2sum,))","[@every *x [(easy[(?x)]  *y [(lessthan[(?y  percent20)]  acrate[(?x ?y)])])]
@every *x [(recommended[(?x)]  easy[(?x)])]
@every *x [(easy[(?x)]  hard[(?x)])]
@every *x [(starred[(?x)])]  hard[(?x)])]
recommended[(twosum)]
starred[(foursum)]]",[*y[(greaterthan[(?y  percent20)]  acrate[(2sum ?y)])]],"all:x (easy(x) :- y (lessthan(y, percent20) & acrate(x,y)))
all:x (recommended(x) :- easy(x))
all:x (easy(x) ^ hard(x))
all:x (starred(x)) :- hard(x))
recommended(twosum)
starred(foursum)","y(greaterthan(y, percent20) & acrate(2sum,y))",-(+E0-+(+L1++A1))-(+R0-+E0)-(+E0-+H0)-(+S0)-+H0)+R2(+t2)+S2(+f2),+(+G1++A1)
11,"Walter Folger Brown was an American politician and lawyer who served as the postmaster general.
Walter Folger Brown graduated from Harvard University with a Bachelor of Arts.
While they were both in Toledo, Walter Folger Brown's father practiced law with Walter Folger Brown.
Katherin Hafer married Walter Folger Brown.",Walter Folger Brown was not in Toledo.,F,"AmericanPolitician(walterBrown) ∧ Lawyer(walterBrown) ∧ ServedAs(walterBrown, postMasterGeneral)
Graduated(walterBrown, harvard) ∧ GraduatedWith(walterBrown, bachelorsOfArt)
∃t(In(walterBrown, toledo, t) ∧ In(walterBrownFather, toledo, t) ∧ PracticedLawTogether(walterBrown, walterBrownFather, t))
Married(katherinHafer, walterBrown)","∃t(¬In(walterBrownFather, toledo, t))",,,"americanpolitician(walterbrown) and lawyer(walterbrown) and servedas(walterbrown, postmastergeneral)
graduated(walterbrown, harvard) and graduatedwith(walterbrown, bachelorsofart)
exists t(in(walterbrown, toledo, t) and in(walterbrownfather, toledo, t) and practicedlawtogether(walterbrown, walterbrownfather, t))
married(katherinhafer, walterbrown)","exists t(not in(walterbrownfather, toledo, t))","americanpolitician(walterbrown) , lawyer(walterbrown) , servedas(walterbrown, postmastergeneral)
graduated(walterbrown, harvard) , graduatedwith(walterbrown, bachelorsofart)
(in(walterbrown, toledo, t) , in(walterbrownfather, toledo, t) , practicedlawtogether(walterbrown, walterbrownfather, t))
married(katherinhafer, walterbrown)","(notin(walterbrownfather, toledo, t))","[americanpolitician[(walterbrown)]  lawyer[(walterbrown)]  servedas[(walterbrown  postmastergeneral)]
graduated[(walterbrown  harvard)]  graduatedwith[(walterbrown  bachelorsofart)]
*t[(in[(walterbrown  toledo  t)]  in[(walterbrownfather  toledo  t)]  practicedlawtogether[(walterbrown  walterbrownfather  t)])]
married[(katherinhafer  walterbrown)]]",[*t[(~in[(walterbrownfather  toledo  t)])]],"americanpolitician(walterbrown) & lawyer(walterbrown) & servedas(walterbrown, postmastergeneral)
graduated(walterbrown, harvard) & graduatedwith(walterbrown, bachelorsofart)
t(in(walterbrown, toledo, t) & in(walterbrownfather, toledo, t) & practicedlawtogether(walterbrown, walterbrownfather, t))
married(katherinhafer, walterbrown)","t(~in(walterbrownfather, toledo, t))",+A2(+w2)++L2(+w2)++S2+G2++G2+(+I1++I1++P1)+M2,+(-+I1)
63,"All students who attend in person have registered for the conference. 
Students either attend the conference in person or remotely. 
No students from China attend the conference remotely. 
James attends the conference, but he does not attend the conference remotely.
Jack attends the conference, and he is a student from China.",Jack has registered for the conference.,T,"∀x (AttendInPerson(x) → Registered(x))
∀x (Attend(x) → (AttendInPerson(x) ⊕ AttendRemotely(x)))
∀x ((Attend(x) ∧ FromChina(x)) → ¬AttendRemotely(x))
Attend(james) ∧ (¬AttendRemotely(james))
FromChina(jack) ∧ Attend(jack)",Registered(jack),,,"forall x (attendinperson(x) implies registered(x))
forall x (attend(x) implies (attendinperson(x) xor attendremotely(x)))
forall x ((attend(x) and fromchina(x)) implies not attendremotely(x))
attend(james) and (not attendremotely(james))
fromchina(jack) and attend(jack)",registered(jack),"forall (attendinperson(x) -: registered(x))
forall (attend(x) -: (attendinperson(x) ^ attendremotely(x)))
forall ((attend(x) , fromchina(x)) -: notattendremotely(x))
attend(james) , (notattendremotely(james))
fromchina(jack) , attend(jack)",registered(jack),"[@every *x [(attendinperson[(?x)]  registered[(?x)])]
@every *x [(attend[(?x)]  [(attendinperson[(?x)]  attendremotely[(?x)])])]
@every *x [([(attend[(?x)]  fromchina[(?x)])]  ~attendremotely[(?x)])]
attend[(james)]  [(~attendremotely[(james)])]
fromchina[(jack)]  attend[(jack)]]",[registered[(jack)]],"all:x (attendinperson(x) :- registered(x))
all:x (attend(x) :- (attendinperson(x) ^ attendremotely(x)))
all:x ((attend(x) & fromchina(x)) :- ~attendremotely(x))
attend(james) & (~attendremotely(james))
fromchina(jack) & attend(jack)",registered(jack),-(+A0-+R0)-(+A0-(+A0-+A0))-((+A0++F0)--+A0)+A2(+j2)+(-+A2(+j2))+F2(+j2)++A2(+j2),+R2(+j2)
29,"Gasteren is a village located in the province of Drenthe.
Drenthe is a Dutch province. 
No cities are villages.
The population of a village in Drenthe was 155 people.",Gasteren has a population of 155.,U,"Village(gasteren) ∧ Province(drenthe) ∧ In(gasteren, drenthe)
Province(drenthe) ∧ In(drenthe, netherlands)
∀x (City(x) → ¬Village(x))
∃x (Population(x, num155) ∧ Village(x) ∧ In(x, drenthe))","Population(gasteren, num155)",,,"village(gasteren) and province(drenthe) and in(gasteren, drenthe)
province(drenthe) and in(drenthe, netherlands)
forall x (city(x) implies not village(x))
exists x (population(x, num155) and village(x) and in(x, drenthe))","population(gasteren, num155)","village(gasteren) , province(drenthe) , in(gasteren, drenthe)
province(drenthe) , in(drenthe, netherlands)
forall (city(x) -: notvillage(x))
 (population(x, num155) , village(x) , in(x, drenthe))","population(gasteren, num155)","[village[(gasteren)]  province[(drenthe)]  in[(gasteren  drenthe)]
province[(drenthe)]  in[(drenthe  netherlands)]
@every *x [(city[(?x)]  ~village[(?x)])]
*x [(population[(?x  num155)]  village[(?x)]  in[(?x  drenthe)])]]",[population[(gasteren  num155)]],"village(gasteren) & province(drenthe) & in(gasteren, drenthe)
province(drenthe) & in(drenthe, netherlands)
all:x (city(x) :- ~village(x))
x (population(x, num155) & village(x) & in(x, drenthe))","population(gasteren, num155)",+V2(+g2)++P2(+d2)++I2+P2(+d2)++I2-(+C0--+V0)+(+P1++V1++I1),+P2
92,"Adventures of Rusty is a drama film and children's film.
Columbia Pictures produced Adventures of Rusty.
Tintin was produced by Paramount.
Tintin is an adventure film.",Paramount produces adventure films.,T,"DramaFilm(adventuresOfRusty) ∧ ChildrensFilm(adventuresOfRusty)
Produces(columbiaPictures, adventuresOfRusty)
Produces(paramount, tintin)
AdventureFilm(tintin)","∃x (AdventureFilm(x) ∧ Produces(paramount, x))",,,"dramafilm(adventuresofrusty) and childrensfilm(adventuresofrusty)
produces(columbiapictures, adventuresofrusty)
produces(paramount, tintin)
adventurefilm(tintin)","exists x (adventurefilm(x) and produces(paramount, x))","dramafilm(adventuresofrusty) , childrensfilm(adventuresofrusty)
produces(columbiapictures, adventuresofrusty)
produces(paramount, tintin)
adventurefilm(tintin)"," (adventurefilm(x) , produces(paramount, x))","[dramafilm[(adventuresofrusty)]  childrensfilm[(adventuresofrusty)]
produces[(columbiapictures  adventuresofrusty)]
produces[(paramount  tintin)]
adventurefilm[(tintin)]]",[*x [(adventurefilm[(?x)]  produces[(paramount  x)])]],"dramafilm(adventuresofrusty) & childrensfilm(adventuresofrusty)
produces(columbiapictures, adventuresofrusty)
produces(paramount, tintin)
adventurefilm(tintin)","x (adventurefilm(x) & produces(paramount, x))",+D2(+a2)++C2(+a2)+P2+P2+A2(+t2),+(+A1++P1)
6,"Boves is a railway station located in France. 
The preceding station of Boves is Longueau.
The preceding station of Dommartin is Boves.
France is a European country.
Dommartin is situated on the Paris–Lille railway. 
Any two contiguous stations are on the same railway.
Boves is served by regional TER Hauts-de-France trains.
If place A is located in place B and place B is located in place C, then place A is located in place C.
If place A precedes place B and place B precedes place C, then place A precedes place C.",Boves is not in Europe.,F,"RailwayStation(boves) ∧ In(boves, france)
Precede(longueau, boves)
Precede(boves, dommartin)
In(france, europe)
SituatedOn(dommartin, pairsLille)
∀x ∀y ∀z ((SituatedOn(x, z) ∧ (Precede(x, y) ∨ Precede(y, x)) → SituatedOn(y, z))
Serve(boves, hautsDeFrance)
∀x ∀y ∀z ((In(x, y) ∧ In(y, z)) → In(x, z))
∀x ∀y ∀z ((Precede(x, y) ∧ Precede(y, z)) → Precede(x, z))","¬In(boves, europe)",,,"railwaystation(boves) and in(boves, france)
precede(longueau, boves)
precede(boves, dommartin)
in(france, europe)
situatedon(dommartin, pairslille)
forall x forall y forall z ((situatedon(x, z) and (precede(x, y) or precede(y, x)) implies situatedon(y, z))
serve(boves, hautsdefrance)
forall x forall y forall z ((in(x, y) and in(y, z)) implies in(x, z))
forall x forall y forall z ((precede(x, y) and precede(y, z)) implies precede(x, z))","not in(boves, europe)","railwaystation(boves) , in(boves, france)
precede(longueau, boves)
precede(boves, dommartin)
in(france, europe)
situatedon(dommartin, pairslille)
forall forall forall ((situatedon(x, z) , (precede(x, y) | precede(y, x)) -: situatedon(y, z))
serve(boves, hautsdefrance)
forall forall forall ((in(x, y) , in(y, z)) -: in(x, z))
forall forall forall ((precede(x, y) , precede(y, z)) -: precede(x, z))","notin(boves, europe)","[railwaystation[(boves)]  in[(boves  france)]
precede[(longueau  boves)]
precede[(boves  dommartin)]
in[(france  europe)]
situatedon[(dommartin  pairslille)]
@every *x @every *y @every *z [([(situatedon[(?x  z)]  [(precede[(?x  y)]  precede[(?y  x)])]  situatedon[(?y  z)])]
serve[(boves  hautsdefrance)]
@every *x @every *y @every *z [([(in[(?x  y)]  in[(?y  z)])]  in[(?x  z)])]
@every *x @every *y @every *z [([(precede[(?x  y)]  precede[(?y  z)])]  precede[(?x  z)])]]",~[in[(boves  europe)]],"railwaystation(boves) & in(boves, france)
precede(longueau, boves)
precede(boves, dommartin)
in(france, europe)
situatedon(dommartin, pairslille)
all:x all:y all:z ((situatedon(x, z) & (precede(x, y) | precede(y, x)) :- situatedon(y, z))
serve(boves, hautsdefrance)
all:x all:y all:z ((in(x, y) & in(y, z)) :- in(x, z))
all:x all:y all:z ((precede(x, y) & precede(y, z)) :- precede(x, z))","~in(boves, europe)",+R2(+b2)++I2+P2+P2+I2+S2---((+S0+(+P0-+P0)-+S0)+S2---((+I0++I0)-+I0)---((+P0++P0)-+P0),-+I2
87,"Daveed Diggs is an actor and film producer.
Daveed Diggs played two roles in the musical Hamilton on Broadway.
One of the actors from Hamilton won the best actor award.
The actor playing Thomas Jefferson won the best actor award.
Daveed Diggs played Thomas Jefferson.
Musicals on Broadway are not films.",Hamilton won two awards.,U,"Actor(daveedDiggs) ∧ FilmProducer(daveedDiggs)
∃x ∃y(PlaysIn(daveedDiggs, x, hamilton) ∧ (¬(x=y)) ∧ PlaysIn(daveedDiggs, y, hamilton)) ∧ OnBroadway(hamilton) ∧ Musical(hamilton)
∃x ∃y(Actor(x) ∧ PlaysIn(x, y, hamilton) ∧ Wins(x, bestActorAward))
∃x (Actor(x) ∧ PlaysIn(x, thomasJefferson, hamilton) ∧ Wins(x, bestActorAward))
Plays(daveedDiggs, thomasJefferson)
∀x ((Musical(x) ∧ OnBroadway(x)) → ¬Film(x))","∃x ∃y(Wins(hamilton, x) ∧ (¬(x=y)) ∧ Wins(hamilton, y))",,,"actor(daveeddiggs) and filmproducer(daveeddiggs)
exists x exists y(playsin(daveeddiggs, x, hamilton) and (not (x=y)) and playsin(daveeddiggs, y, hamilton)) and onbroadway(hamilton) and musical(hamilton)
exists x exists y(actor(x) and playsin(x, y, hamilton) and wins(x, bestactoraward))
exists x (actor(x) and playsin(x, thomasjefferson, hamilton) and wins(x, bestactoraward))
plays(daveeddiggs, thomasjefferson)
forall x ((musical(x) and onbroadway(x)) implies not film(x))","exists x exists y(wins(hamilton, x) and (not (x=y)) and wins(hamilton, y))","actor(daveeddiggs) , filmproducer(daveeddiggs)
 (playsin(daveeddiggs, x, hamilton) , (not(x=y)) , playsin(daveeddiggs, y, hamilton)) , onbroadway(hamilton) , musical(hamilton)
 (actor(x) , playsin(x, y, hamilton) , wins(x, bestactoraward))
 (actor(x) , playsin(x, thomasjefferson, hamilton) , wins(x, bestactoraward))
plays(daveeddiggs, thomasjefferson)
forall ((musical(x) , onbroadway(x)) -: notfilm(x))"," (wins(hamilton, x) , (not(x=y)) , wins(hamilton, y))","[actor[(daveeddiggs)]  filmproducer[(daveeddiggs)]
*x *y[(playsin[(daveeddiggs  x  hamilton)]  [(~[(?x=y)])]  playsin[(daveeddiggs  y  hamilton)])]  onbroadway[(hamilton)]  musical[(hamilton)]
*x *y[(actor[(?x)]  playsin[(?x  y  hamilton)]  wins[(?x  bestactoraward)])]
*x [(actor[(?x)]  playsin[(?x  thomasjefferson  hamilton)]  wins[(?x  bestactoraward)])]
plays[(daveeddiggs  thomasjefferson)]
@every *x [([(musical[(?x)]  onbroadway[(?x)])]  ~film[(?x)])]]",[*x *y[(wins[(hamilton  x)]  [(~[(?x=y)])]  wins[(hamilton  y)])]],"actor(daveeddiggs) & filmproducer(daveeddiggs)
x y(playsin(daveeddiggs, x, hamilton) & (~(x=y)) & playsin(daveeddiggs, y, hamilton)) & onbroadway(hamilton) & musical(hamilton)
x y(actor(x) & playsin(x, y, hamilton) & wins(x, bestactoraward))
x (actor(x) & playsin(x, thomasjefferson, hamilton) & wins(x, bestactoraward))
plays(daveeddiggs, thomasjefferson)
all:x ((musical(x) & onbroadway(x)) :- ~film(x))","x y(wins(hamilton, x) & (~(x=y)) & wins(hamilton, y))",+A2(+d2)++F2(+d2)++(+P1+(-(+x1))++P1)++O1(+h1)++M1(+h1)++(+A1++P1++W1)+(+A1++P1++W1)+P2-((+M0++O0)--+F0),++(+W1+(-(+x1))++W1)
78,"Ableton has an office in Germany.
Ableton has an office in the USA.
USA and Germany are different countries.
Any company that has offices in different countries is a multinational company.
Ableton makes music software.",Ableton does not have an office in Germany.,F,"OfficeIn(ableton, germany)
OfficeIn(ableton, unitedStates)
¬SameCountry(germany, unitedStates)
∀x ∀y ∀z (OfficeIn(x, y) ∧ OfficeIn(x, z) ∧ (¬SameCountry(y, z)) → MultinationalCompany(x))
MakesMusicSoftware(ableton)","¬OfficeIn(ableton, germany)",,,"officein(ableton, germany)
officein(ableton, unitedstates)
not samecountry(germany, unitedstates)
forall x forall y forall z (officein(x, y) and officein(x, z) and (not samecountry(y, z)) implies multinationalcompany(x))
makesmusicsoftware(ableton)","not officein(ableton, germany)","officein(ableton, germany)
officein(ableton, unitedstates)
notsamecountry(germany, unitedstates)
forall forall forall (officein(x, y) , officein(x, z) , (notsamecountry(y, z)) -: multinationalcompany(x))
makesmusicsoftware(ableton)","notofficein(ableton, germany)","[officein[(ableton  germany)]
officein[(ableton  unitedstates)]
~samecountry[(germany  unitedstates)]
@every *x @every *y @every *z [(officein[(?x  y)]  officein[(?x  z)]  [(~samecountry[(?y  z)])]  multinationalcompany[(?x)])]
makesmusicsoftware[(ableton)]]",~[officein[(ableton  germany)]],"officein(ableton, germany)
officein(ableton, unitedstates)
~samecountry(germany, unitedstates)
all:x all:y all:z (officein(x, y) & officein(x, z) & (~samecountry(y, z)) :- multinationalcompany(x))
makesmusicsoftware(ableton)","~officein(ableton, germany)",+O2+O2-+S2---(+O0++O0+(-+S0)-+M0)+M2(+a2),-+O2
71,"Herodicus was a Greek physician, dietician, sophist, and gymnast.
Herodicus was born in the city of Selymbria.
Selymbria is a colony of the city-state Megara.
One of the tutors of Hippocrates was Herodicus.
Massages were recommended by Herodicus.
Some of the theories of Herodicus are considered to be the foundation of sports medicine.",Herodicus tutored Hippocrates.,T,"Greek(herodicus) ∧ Physician(herodicus) ∧ Dietician(herodicus) ∧ Sophist(herodicus) ∧ Gymnast(herodicus)
Born(herodicus, selymbia) ∧ City(selymbia)
Colony(selymbia, megara) ∧ CityState(megara)
Tutor(herodicus, hippocrates)
Recommend(herodicus, massages)
∃x ∃y (Theory(x) ∧ From(x, herodicus) ∧ FoundationOf(x, sportsMedicine) ∧ (¬(x=y)) ∧ Theory(y) ∧ From(y, herodicus) ∧ FoundationOf(y, sportsMedicine))","Tutor(herodicus, hippocrates)",,,"greek(herodicus) and physician(herodicus) and dietician(herodicus) and sophist(herodicus) and gymnast(herodicus)
born(herodicus, selymbia) and city(selymbia)
colony(selymbia, megara) and citystate(megara)
tutor(herodicus, hippocrates)
recommend(herodicus, massages)
exists x exists y (theory(x) and from(x, herodicus) and foundationof(x, sportsmedicine) and (not (x=y)) and theory(y) and from(y, herodicus) and foundationof(y, sportsmedicine))","tutor(herodicus, hippocrates)","greek(herodicus) , physician(herodicus) , dietician(herodicus) , sophist(herodicus) , gymnast(herodicus)
born(herodicus, selymbia) , city(selymbia)
colony(selymbia, megara) , citystate(megara)
tutor(herodicus, hippocrates)
recommend(herodicus, massages)
  (theory(x) , from(x, herodicus) , foundationof(x, sportsmedicine) , (not(x=y)) , theory(y) , from(y, herodicus) , foundationof(y, sportsmedicine))","tutor(herodicus, hippocrates)","[greek[(herodicus)]  physician[(herodicus)]  dietician[(herodicus)]  sophist[(herodicus)]  gymnast[(herodicus)]
born[(herodicus  selymbia)]  city[(selymbia)]
colony[(selymbia  megara)]  citystate[(megara)]
tutor[(herodicus  hippocrates)]
recommend[(herodicus  massages)]
*x *y [(theory[(?x)]  from[(?x  herodicus)]  foundationof[(?x  sportsmedicine)]  [(~[(?x=y)])]  theory[(?y)]  from[(?y  herodicus)]  foundationof[(?y  sportsmedicine)])]]",[tutor[(herodicus  hippocrates)]],"greek(herodicus) & physician(herodicus) & dietician(herodicus) & sophist(herodicus) & gymnast(herodicus)
born(herodicus, selymbia) & city(selymbia)
colony(selymbia, megara) & citystate(megara)
tutor(herodicus, hippocrates)
recommend(herodicus, massages)
x y (theory(x) & from(x, herodicus) & foundationof(x, sportsmedicine) & (~(x=y)) & theory(y) & from(y, herodicus) & foundationof(y, sportsmedicine))","tutor(herodicus, hippocrates)",+G2(+h2)++P2(+h2)++D2(+h2)++S2(+h2)++G2(+h2)+B2++C2(+s2)+C2++C2(+m2)+T2+R2++(+T1++F1++F1+(-(+x1))++T1++F1++F1),+T2
